Time_IV(s),Voltage(V),Current(A),Time_Optical(s),OpticalSignal
14.200000,0.413818,0.456543,,
14.210000,0.413971,0.456879,,
14.220000,0.414276,0.457214,,
14.230000,0.414734,0.457581,,
14.240000,0.414886,0.457886,,
14.250000,0.415344,0.458221,,
14.260000,0.415497,0.458405,,
14.270000,0.415802,0.458740,,
14.280000,0.416107,0.459045,,
14.290000,0.416412,0.459412,,
14.300000,0.416565,0.459747,,
14.310000,0.416870,0.460052,,
14.320000,0.417328,0.460388,,
14.330000,0.417480,0.460724,,
14.340000,0.417786,0.461029,,
14.350000,0.418091,0.461395,,
14.360000,0.418396,0.461700,,
14.370000,0.418701,0.462036,,
14.380000,0.419006,0.462372,,
14.390000,0.419312,0.462738,,
14.400000,0.419617,0.463074,,
14.410000,0.419922,0.463379,,
14.420000,0.420227,0.463745,,
14.430000,0.420532,0.464081,,
14.440000,0.420837,0.464417,,
14.450000,0.421143,0.464752,,
14.460000,0.421448,0.465088,,
14.470000,0.421753,0.465424,,
14.480000,0.422058,0.465759,,
14.490000,0.422363,0.466095,,
14.500000,0.422668,0.466431,,
14.510000,0.422821,0.466644,,
14.520000,0.423126,0.466919,,
14.530000,0.423431,0.467255,,
14.540000,0.423737,0.467590,,
14.550000,0.424042,0.467926,,
14.560000,0.424347,0.468292,,
14.570000,0.424652,0.468628,,
14.580000,0.424957,0.468994,,
14.590000,0.425262,0.469238,,
14.600000,0.425568,0.469604,,
14.610000,0.425873,0.469971,,
14.620000,0.426178,0.470276,,
14.630000,0.426483,0.470612,,
14.640000,0.426788,0.470917,,
14.650000,0.427094,0.471283,,
14.660000,0.427399,0.471588,,
14.670000,0.427704,0.471954,,
14.680000,0.428009,0.472290,,
14.690000,0.428314,0.472595,,
14.700000,0.428619,0.472961,,
14.710000,0.428925,0.473297,,
14.720000,0.429230,0.473663,,
14.730000,0.429535,0.473969,,
14.740000,0.429840,0.474274,,
14.750000,0.430145,0.474701,,
14.760000,0.430298,0.474854,,
14.770000,0.430603,0.475189,,
14.780000,0.430908,0.475433,,
14.790000,0.431213,0.475830,,
14.800000,0.431519,0.476166,,
14.810000,0.431824,0.476501,,
14.820000,0.432129,0.476776,,
14.830000,0.432434,0.477173,,
14.840000,0.432739,0.477539,,
14.850000,0.433044,0.477844,,
14.860000,0.433350,0.478149,,
14.870000,0.433655,0.478485,,
14.880000,0.433960,0.478821,,
14.890000,0.434265,0.479218,,
14.900000,0.434570,0.479492,,
14.910000,0.434875,0.479858,,
14.920000,0.435181,0.480225,,
14.930000,0.435486,0.480530,,
14.940000,0.435791,0.480835,,
14.950000,0.436096,0.481201,,
14.960000,0.436401,0.481537,,
14.970000,0.436707,0.481873,,
14.980000,0.437012,0.482208,,
14.990000,0.437317,0.482513,,
15.000000,0.437622,0.482910,,
15.010000,0.437775,0.483032,,
15.020000,0.438080,0.483337,,
15.030000,0.438385,0.483704,,
15.040000,0.438690,0.484070,,
15.050000,0.438843,0.484344,,
15.060000,0.439301,0.484741,,
15.070000,0.439606,0.485016,,
15.080000,0.439911,0.485413,,
15.090000,0.440216,0.485748,,
15.100000,0.440521,0.486084,,
15.110000,0.440674,0.486359,,
15.120000,0.440979,0.486694,,
15.130000,0.441284,0.487061,,
15.140000,0.441589,0.487366,,
15.150000,0.441895,0.487732,,
15.160000,0.442352,0.488037,,
15.170000,0.442657,0.488403,,
15.180000,0.442810,0.488739,,
15.190000,0.443268,0.489105,,
15.200000,0.443573,0.489441,,
15.210000,0.443878,0.489746,,
15.220000,0.444183,0.490082,,
15.230000,0.444489,0.490448,,
15.240000,0.444794,0.490753,,
15.250000,0.445099,0.491089,,
15.260000,0.445251,0.491241,,
15.270000,0.445404,0.491547,,
15.280000,0.445709,0.491913,,
15.290000,0.446167,0.492249,,
15.300000,0.446472,0.492615,,
15.310000,0.446625,0.492920,,
15.320000,0.447083,0.493286,,
15.330000,0.447235,0.493591,,
15.340000,0.447540,0.493958,,
15.350000,0.447845,0.494263,,
15.360000,0.448303,0.494659,,
15.370000,0.448456,0.494934,,
15.380000,0.448914,0.495270,,
15.390000,0.449219,0.495636,,
15.400000,0.449524,0.496002,,
15.410000,0.449677,0.496307,,
15.420000,0.450134,0.496643,,
15.430000,0.450287,0.496918,,
15.440000,0.450897,0.497437,,
15.450000,0.451050,0.497772,,
15.460000,0.451355,0.498108,,
15.470000,0.451813,0.498474,,
15.480000,0.451965,0.498840,,
15.490000,0.452423,0.499146,,
15.500000,0.452576,0.499481,,
15.510000,0.452728,0.499664,,
15.520000,0.453033,0.499969,,
15.530000,0.453339,0.500305,,
15.540000,0.453644,0.500641,,
15.550000,0.453949,0.501007,,
15.560000,0.454254,0.501282,,
15.570000,0.454559,0.501648,,
15.580000,0.454865,0.502014,,
15.590000,0.455170,0.502319,,
15.600000,0.455475,0.502655,,
15.610000,0.455780,0.502991,,
15.620000,0.456085,0.503357,,
15.630000,0.456390,0.503662,,
15.640000,0.456696,0.504028,,
15.650000,0.457001,0.504364,,
15.660000,0.457306,0.504700,,
15.670000,0.457611,0.505005,,
15.680000,0.457916,0.505371,,
15.690000,0.458221,0.505676,,
15.700000,0.458527,0.506012,,
15.710000,0.458984,0.506348,,
15.720000,0.459137,0.506683,,
15.730000,0.459442,0.507050,,
15.740000,0.459747,0.507385,,
15.750000,0.460205,0.507751,,
15.760000,0.460358,0.507874,,
15.770000,0.460510,0.508209,,
15.780000,0.460815,0.508545,,
15.790000,0.461273,0.508911,,
15.800000,0.461578,0.509277,,
15.810000,0.461884,0.509613,,
15.820000,0.462036,0.509918,,
15.830000,0.462341,0.510223,,
15.840000,0.462646,0.510559,,
15.850000,0.462952,0.510925,,
15.860000,0.463257,0.511230,,
15.870000,0.463562,0.511566,,
15.880000,0.463867,0.511902,,
15.890000,0.464172,0.512268,,
15.900000,0.464478,0.512573,,
15.910000,0.464783,0.512939,,
15.920000,0.465088,0.513245,,
15.930000,0.465393,0.513580,,
15.940000,0.465698,0.513947,,
15.950000,0.466003,0.514252,,
15.960000,0.466309,0.514557,,
15.970000,0.466614,0.514893,,
15.980000,0.466919,0.515228,,
15.990000,0.467224,0.515594,,
16.000000,0.467529,0.515900,,
16.010000,0.467682,0.516083,,
16.020000,0.467987,0.516449,,
16.030000,0.468292,0.516785,,
16.040000,0.468597,0.517120,,
16.050000,0.468903,0.517395,,
16.060000,0.469208,0.517761,,
16.070000,0.469513,0.518097,,
16.080000,0.469818,0.518463,,
16.090000,0.470123,0.518768,,
16.100000,0.470428,0.519073,,
16.110000,0.470734,0.519440,,
16.120000,0.471039,0.519775,,
16.130000,0.471344,0.520111,,
16.140000,0.471649,0.520477,,
16.150000,0.471954,0.520813,,
16.160000,0.472260,0.521118,,
16.170000,0.472565,0.521454,,
16.180000,0.472870,0.521790,,
16.190000,0.473175,0.522125,,
16.200000,0.473480,0.522491,,
16.210000,0.473785,0.522797,,
16.220000,0.474091,0.523132,,
16.230000,0.474396,0.523468,,
16.240000,0.474701,0.523804,,
16.250000,0.475006,0.524139,,
16.260000,0.475159,0.524323,,
16.270000,0.475464,0.524628,,
16.280000,0.475769,0.524933,,
16.290000,0.476074,0.525269,,
16.300000,0.476379,0.525665,,
16.310000,0.476685,0.526001,,
16.320000,0.476990,0.526276,,
16.330000,0.477295,0.526642,,
16.340000,0.477600,0.527008,,
16.350000,0.477905,0.527313,,
16.360000,0.478210,0.527649,,
16.370000,0.478516,0.527985,,
16.380000,0.478821,0.528381,,
16.390000,0.479126,0.528656,,
16.400000,0.479431,0.528992,,
16.410000,0.479736,0.529327,,
16.420000,0.480042,0.529663,,
16.430000,0.480347,0.529999,,
16.440000,0.480652,0.530334,,
16.450000,0.480804,0.530670,,
16.460000,0.481262,0.530975,,
16.470000,0.481567,0.531342,,
16.480000,0.481873,0.531677,,
16.490000,0.482178,0.532013,,
16.500000,0.482483,0.532379,,
16.510000,0.482635,0.532501,,
16.520000,0.482941,0.532867,,
16.530000,0.483246,0.533203,,
16.540000,0.483551,0.533539,,
16.550000,0.483856,0.533875,,
16.560000,0.484161,0.534210,,
16.570000,0.484467,0.534546,,
16.580000,0.484772,0.534851,,
16.590000,0.485077,0.535217,,
16.600000,0.485382,0.535492,,
16.610000,0.485687,0.535889,,
16.620000,0.485992,0.536194,,
16.630000,0.486298,0.536560,,
16.640000,0.486603,0.536896,,
16.650000,0.486908,0.537231,,
16.660000,0.487213,0.537567,,
16.670000,0.487213,0.537689,,
16.680000,0.486908,0.537384,,
16.690000,0.486755,0.537048,,
16.700000,0.486450,0.536713,,
16.710000,0.486145,0.536407,,
16.720000,0.485840,0.536072,,
16.730000,0.485535,0.535736,,
16.740000,0.485229,0.535370,,
16.750000,0.484924,0.535156,,
16.760000,0.484772,0.534882,,
16.770000,0.484314,0.534546,,
16.780000,0.484161,0.534210,,
16.790000,0.483856,0.533875,,
16.800000,0.483398,0.533478,,
16.810000,0.483093,0.533173,,
16.820000,0.482941,0.532898,,
16.830000,0.482483,0.532471,,
16.840000,0.482330,0.532196,,
16.850000,0.482025,0.531830,,
16.860000,0.481720,0.531494,,
16.870000,0.481415,0.531189,,
16.880000,0.481110,0.530823,,
16.890000,0.480804,0.530487,,
16.900000,0.480499,0.530182,,
16.910000,0.480194,0.529816,,
16.920000,0.479889,0.529510,,
16.930000,0.479584,0.529175,,
16.940000,0.479279,0.528839,,
16.950000,0.478973,0.528503,,
16.960000,0.478668,0.528137,,
16.970000,0.478363,0.527863,,
16.980000,0.478058,0.527466,,
16.990000,0.477753,0.527130,,
17.000000,0.477600,0.526947,,
17.010000,0.477295,0.526611,,
17.020000,0.476990,0.526337,,
17.030000,0.476685,0.525940,,
17.040000,0.476379,0.525604,,
17.050000,0.476074,0.525299,,
17.060000,0.475769,0.524963,,
17.070000,0.475464,0.524658,,
17.080000,0.475159,0.524323,,
17.090000,0.474854,0.523987,,
17.100000,0.474548,0.523621,,
17.110000,0.474243,0.523315,,
17.120000,0.473938,0.522980,,
17.130000,0.473633,0.522675,,
17.140000,0.473328,0.522278,,
17.150000,0.473022,0.521973,,
17.160000,0.472717,0.521637,,
17.170000,0.472412,0.521271,,
17.180000,0.472107,0.520935,,
17.190000,0.471802,0.520599,,
17.200000,0.471497,0.520294,,
17.210000,0.471191,0.519928,,
17.220000,0.470886,0.519592,,
17.230000,0.470581,0.519257,,
17.240000,0.470276,0.518951,,
17.250000,0.470123,0.518707,,
17.260000,0.469818,0.518433,,
17.270000,0.469513,0.518066,,
17.280000,0.469208,0.517731,,
17.290000,0.468903,0.517395,,
17.300000,0.468597,0.517090,,
17.310000,0.468292,0.516754,,
17.320000,0.468140,0.516449,,
17.330000,0.467682,0.516083,,
17.340000,0.467377,0.515747,,
17.350000,0.467072,0.515411,,
17.360000,0.466766,0.515045,,
17.370000,0.466461,0.514740,,
17.380000,0.466156,0.514404,,
17.390000,0.465851,0.514069,,
17.400000,0.465546,0.513733,,
17.410000,0.465240,0.513397,,
17.420000,0.464935,0.513062,,
17.430000,0.464630,0.512726,,
17.440000,0.464325,0.512390,,
17.450000,0.464020,0.512054,,
17.460000,0.463715,0.511719,,
17.470000,0.463409,0.511383,,
17.480000,0.463104,0.511047,,
17.490000,0.462799,0.510742,,
17.500000,0.462646,0.510498,,
17.510000,0.462341,0.510193,,
17.520000,0.462036,0.509888,,
17.530000,0.461731,0.509552,,
17.540000,0.461426,0.509216,,
17.550000,0.461273,0.508881,,
17.560000,0.460815,0.508575,,
17.570000,0.460510,0.508209,,
17.580000,0.460205,0.507874,,
17.590000,0.459900,0.507538,,
17.600000,0.459595,0.507172,,
17.610000,0.459290,0.506866,,
17.620000,0.459137,0.506531,,
17.630000,0.458679,0.506195,,
17.640000,0.458527,0.505890,,
17.650000,0.458069,0.505524,,
17.660000,0.457916,0.505219,,
17.670000,0.457458,0.504822,,
17.680000,0.457153,0.504547,,
17.690000,0.456848,0.504181,,
17.700000,0.456543,0.503845,,
17.710000,0.456390,0.503510,,
17.720000,0.455933,0.503143,,
17.730000,0.455627,0.502808,,
17.740000,0.455322,0.502502,,
17.750000,0.455170,0.502258,,
17.760000,0.454865,0.501984,,
17.770000,0.454559,0.501648,,
17.780000,0.454254,0.501282,,
17.790000,0.453949,0.500977,,
17.800000,0.453644,0.500641,,
17.810000,0.453339,0.500305,,
17.820000,0.453033,0.500000,,
17.830000,0.452728,0.499573,,
17.840000,0.452423,0.499268,,
17.850000,0.452118,0.498962,,
17.860000,0.451813,0.498627,,
17.870000,0.451508,0.498291,,
17.880000,0.451202,0.497955,,
17.890000,0.450897,0.497620,,
17.900000,0.450592,0.497284,,
17.910000,0.450134,0.496796,,
17.920000,0.449829,0.496460,,
17.930000,0.449524,0.496094,,
17.940000,0.449219,0.495789,,
17.950000,0.449066,0.495422,,
17.960000,0.448608,0.495117,,
17.970000,0.448303,0.494720,,
17.980000,0.448151,0.494446,,
17.990000,0.447693,0.494110,,
18.000000,0.447540,0.493866,,
18.010000,0.447235,0.493591,,
18.020000,0.446930,0.493225,,
18.030000,0.446625,0.492889,,
18.040000,0.446320,0.492584,,
18.050000,0.446167,0.492249,,
18.060000,0.445709,0.491882,,
18.070000,0.445404,0.491547,,
18.080000,0.445099,0.491211,,
18.090000,0.444794,0.490875,,
18.100000,0.444489,0.490570,,
18.110000,0.444336,0.490265,,
18.120000,0.443878,0.489899,,
18.130000,0.443573,0.489532,,
18.140000,0.443420,0.489258,,
18.150000,0.443115,0.488892,,
18.160000,0.442810,0.488556,,
18.170000,0.442505,0.488220,,
18.180000,0.442200,0.487885,,
18.190000,0.441895,0.487549,,
18.200000,0.441589,0.487213,,
18.210000,0.441284,0.486877,,
18.220000,0.440979,0.486572,,
18.230000,0.440674,0.486206,,
18.240000,0.440216,0.485870,,
18.250000,0.440063,0.485657,,
18.260000,0.439758,0.485352,,
18.270000,0.439606,0.485016,,
18.280000,0.439301,0.484711,,
18.290000,0.438995,0.484375,,
18.300000,0.438690,0.484039,,
18.310000,0.438385,0.483704,,
18.320000,0.438080,0.483337,,
18.330000,0.437775,0.483032,,
18.340000,0.437469,0.482697,,
18.350000,0.437164,0.482361,,
18.360000,0.436859,0.481964,,
18.370000,0.436554,0.481689,,
18.380000,0.436249,0.481323,,
18.390000,0.435944,0.481018,,
18.400000,0.435638,0.480652,,
18.410000,0.435333,0.480347,,
18.420000,0.435028,0.480042,,
18.430000,0.434723,0.479675,,
18.440000,0.434418,0.479370,,
18.450000,0.434113,0.479004,,
18.460000,0.433807,0.478668,,
18.470000,0.433502,0.478333,,
18.480000,0.433044,0.477966,,
18.490000,0.432892,0.477631,,
18.500000,0.432739,0.477417,,
18.510000,0.432434,0.477173,,
18.520000,0.432129,0.476837,,
18.530000,0.431824,0.476471,,
18.540000,0.431519,0.476135,,
18.550000,0.431213,0.475800,,
18.560000,0.430908,0.475525,,
18.570000,0.430603,0.475159,,
18.580000,0.430298,0.474823,,
18.590000,0.429993,0.474457,,
18.600000,0.429688,0.474152,,
18.610000,0.429382,0.473785,,
18.620000,0.429077,0.473480,,
18.630000,0.428772,0.473145,,
18.640000,0.428467,0.472778,,
18.650000,0.428162,0.472443,,
18.660000,0.427856,0.472137,,
18.670000,0.427551,0.471802,,
18.680000,0.427246,0.471466,,
18.690000,0.426941,0.471161,,
18.700000,0.426636,0.470825,,
18.710000,0.426331,0.470428,,
18.720000,0.426025,0.470154,,
18.730000,0.425720,0.469788,,
18.740000,0.425415,0.469421,,
18.750000,0.425262,0.469269,,
18.760000,0.424957,0.468933,,
18.770000,0.424652,0.468628,,
18.780000,0.424347,0.468292,,
18.790000,0.424042,0.467926,,
18.800000,0.423737,0.467621,,
18.810000,0.423431,0.467285,,
18.820000,0.423126,0.466949,,
18.830000,0.422974,0.466614,,
18.840000,0.422516,0.466278,,
18.850000,0.422211,0.465942,,
18.860000,0.421906,0.465576,,
18.870000,0.421600,0.465271,,
18.880000,0.421295,0.464935,,
18.890000,0.420990,0.464600,,
18.900000,0.420685,0.464233,,
18.910000,0.420380,0.463928,,
18.920000,0.420074,0.463562,,
18.930000,0.419769,0.463226,,
18.940000,0.419464,0.462921,,
18.950000,0.419312,0.462585,,
18.960000,0.419006,0.462219,,
18.970000,0.418549,0.461914,,
18.980000,0.418243,0.461609,,
18.990000,0.417938,0.461243,,
19.000000,0.417786,0.461060,,
19.010000,0.417633,0.460724,,
19.020000,0.417175,0.460388,,
19.030000,0.416870,0.460052,,
19.040000,0.416565,0.459747,,
19.050000,0.416412,0.459412,,
19.060000,0.415955,0.459045,,
19.070000,0.415802,0.458771,,
19.080000,0.415344,0.458344,,
19.090000,0.415192,0.458069,,
19.100000,0.414734,0.457733,,
19.110000,0.414581,0.457397,,
19.120000,0.414276,0.457062,,
19.130000,0.413818,0.456726,,
19.140000,0.413666,0.456390,,
19.150000,0.413361,0.456024,,
19.160000,0.413055,0.455719,,
19.170000,0.412750,0.455383,,
19.180000,0.412445,0.455048,,
19.190000,0.412140,0.454712,,
19.200000,0.411835,0.454346,,
19.210000,0.411377,0.453979,,
19.220000,0.411072,0.453705,,
19.230000,0.410919,0.453369,,
19.240000,0.410614,0.453003,,
19.250000,0.410309,0.452789,,
19.260000,0.410156,0.452545,,
19.270000,0.409851,0.452179,,
19.280000,0.409546,0.451874,,
19.290000,0.409241,0.451508,,
19.300000,0.408936,0.451172,,
19.310000,0.408478,0.450806,,
19.320000,0.408173,0.450470,,
19.330000,0.408020,0.450165,,
19.340000,0.407715,0.449860,,
19.350000,0.407410,0.449524,,
19.360000,0.407104,0.449188,,
19.370000,0.406799,0.448883,,
19.380000,0.406494,0.448517,,
19.390000,0.406189,0.448151,,
19.400000,0.405884,0.447815,,
19.410000,0.405579,0.447449,,
19.420000,0.405273,0.447144,,
19.430000,0.404968,0.446838,,
19.440000,0.404663,0.446503,,
19.450000,0.404205,0.445984,,
19.460000,0.403900,0.445648,,
19.470000,0.403595,0.445282,,
19.480000,0.403290,0.444977,,
19.490000,0.402985,0.444641,,
19.500000,0.402832,0.444397,,
19.510000,0.402527,0.444153,,
19.520000,0.402222,0.443787,,
19.530000,0.401917,0.443451,,
19.540000,0.401611,0.443115,,
19.550000,0.401306,0.442780,,
19.560000,0.401001,0.442444,,
19.570000,0.400696,0.442108,,
19.580000,0.400391,0.441772,,
19.590000,0.400085,0.441437,,
19.600000,0.399780,0.441132,,
19.610000,0.399475,0.440796,,
19.620000,0.399170,0.440460,,
19.630000,0.398865,0.440125,,
19.640000,0.398560,0.439789,,
19.650000,0.398254,0.439423,,
19.660000,0.397949,0.439056,,
19.670000,0.397644,0.438751,,
19.680000,0.397339,0.438416,,
19.690000,0.397034,0.438110,,
19.700000,0.396729,0.437775,,
19.710000,0.396423,0.437439,,
19.720000,0.396118,0.437073,,
19.730000,0.395813,0.436737,,
19.740000,0.395508,0.436401,,
19.750000,0.395355,0.436188,,
19.760000,0.395050,0.435913,,
19.770000,0.394745,0.435577,,
19.780000,0.394440,0.435242,,
19.790000,0.394135,0.434875,,
19.800000,0.393829,0.434540,,
19.810000,0.393677,0.434265,,
19.820000,0.393372,0.433929,,
19.830000,0.392914,0.433563,,
19.840000,0.392761,0.433258,,
19.850000,0.392456,0.432922,,
19.860000,0.391998,0.432556,,
19.870000,0.391693,0.432220,,
19.880000,0.391388,0.431885,,
19.890000,0.391235,0.431549,,
19.900000,0.390778,0.431244,,
19.910000,0.390472,0.430878,,
19.920000,0.390167,0.430511,,
19.930000,0.390015,0.430237,,
19.940000,0.389709,0.429901,,
19.950000,0.389252,0.429535,,
19.960000,0.388947,0.429199,,
19.970000,0.388794,0.428864,,
19.980000,0.388336,0.428528,,
19.990000,0.388031,0.428162,,
20.000000,0.387878,0.427979,,
20.010000,0.387573,0.427673,,
20.020000,0.387421,0.427368,,
20.030000,0.386963,0.427002,,
20.040000,0.386658,0.426666,,
20.050000,0.386353,0.426361,,
20.060000,0.386047,0.426025,,
20.070000,0.385742,0.425659,,
20.080000,0.385590,0.425354,,
20.090000,0.385132,0.425018,,
20.100000,0.384827,0.424591,,
20.110000,0.384521,0.424347,,
20.120000,0.384369,0.424011,,
20.130000,0.384064,0.423645,,
20.140000,0.383606,0.423309,,
20.150000,0.383301,0.422974,,
20.160000,0.383148,0.422699,,
20.170000,0.382843,0.422333,,
20.180000,0.382538,0.422028,,
20.190000,0.382233,0.421631,,
20.200000,0.381927,0.421326,,
20.210000,0.381622,0.420990,,
20.220000,0.381317,0.420685,,
20.230000,0.381012,0.420349,,
20.240000,0.380707,0.419952,,
20.250000,0.380554,0.419769,,
20.260000,0.380249,0.419495,,
20.270000,0.379944,0.419128,,
20.280000,0.379486,0.418793,,
20.290000,0.379333,0.418457,,
20.300000,0.379028,0.418121,,
20.310000,0.378723,0.417786,,
20.320000,0.378418,0.417450,,
20.330000,0.378113,0.417114,,
20.340000,0.377808,0.416779,,
20.350000,0.377502,0.416443,,
20.360000,0.377197,0.416107,,
20.370000,0.376892,0.415802,,
20.380000,0.376587,0.415466,,
20.390000,0.376282,0.415131,,
20.400000,0.375977,0.414764,,
20.410000,0.375671,0.414429,,
20.420000,0.375214,0.414063,,
20.430000,0.375061,0.413788,,
20.440000,0.374756,0.413422,,
20.450000,0.374451,0.413116,,
20.460000,0.374146,0.412720,,
20.470000,0.373840,0.412476,,
,,,10.240000,133.000000
,,,10.250000,151.000000
,,,10.260000,136.000000
,,,10.270000,173.000000
,,,10.280000,138.000000
,,,10.290000,143.000000
,,,10.300000,155.000000
,,,10.310000,138.000000
,,,10.320000,150.000000
,,,10.330000,155.000000
,,,10.340000,132.000000
,,,10.350000,158.000000
,,,10.360000,148.000000
,,,10.370000,138.000000
,,,10.380000,141.000000
,,,10.390000,147.000000
,,,10.400000,129.000000
,,,10.410000,163.000000
,,,10.420000,162.000000
,,,10.430000,136.000000
,,,10.440000,145.000000
,,,10.450000,128.000000
,,,10.460000,130.000000
,,,10.470000,140.000000
,,,10.480000,146.000000
,,,10.490000,136.000000
,,,10.500000,153.000000
,,,10.510000,179.000000
,,,10.520000,134.000000
,,,10.530000,148.000000
,,,10.540000,162.000000
,,,10.550000,143.000000
,,,10.560000,152.000000
,,,10.570000,148.000000
,,,10.580000,133.000000
,,,10.590000,134.000000
,,,10.600000,151.000000
,,,10.610000,149.000000
,,,10.620000,139.000000
,,,10.630000,162.000000
,,,10.640000,145.000000
,,,10.650000,169.000000
,,,10.660000,152.000000
,,,10.670000,152.000000
,,,10.680000,128.000000
,,,10.690000,157.000000
,,,10.700000,137.000000
,,,10.710000,141.000000
,,,10.720000,146.000000
,,,10.730000,134.000000
,,,10.740000,156.000000
,,,10.750000,168.000000
,,,10.760000,140.000000
,,,10.770000,148.000000
,,,10.780000,128.000000
,,,10.790000,156.000000
,,,10.800000,151.000000
,,,10.810000,151.000000
,,,10.820000,166.000000
,,,10.830000,173.000000
,,,10.840000,154.000000
,,,10.850000,151.000000
,,,10.860000,135.000000
,,,10.870000,150.000000
,,,10.880000,169.000000
,,,10.890000,155.000000
,,,10.900000,131.000000
,,,10.910000,126.000000
,,,10.920000,127.000000
,,,10.930000,136.000000
,,,10.940000,134.000000
,,,10.950000,141.000000
,,,10.960000,147.000000
,,,10.970000,142.000000
,,,10.980000,139.000000
,,,10.990000,167.000000
,,,11.000000,127.000000
,,,11.010000,145.000000
,,,11.020000,155.000000
,,,11.030000,162.000000
,,,11.040000,161.000000
,,,11.050000,135.000000
,,,11.060000,140.000000
,,,11.070000,126.000000
,,,11.080000,145.000000
,,,11.090000,144.000000
,,,11.100000,147.000000
,,,11.110000,148.000000
,,,11.120000,116.000000
,,,11.130000,159.000000
,,,11.140000,152.000000
,,,11.150000,133.000000
,,,11.160000,167.000000
,,,11.170000,127.000000
,,,11.180000,139.000000
,,,11.190000,131.000000
,,,11.200000,142.000000
,,,11.210000,137.000000
,,,11.220000,145.000000
,,,11.230000,153.000000
,,,11.240000,153.000000
,,,11.250000,152.000000
,,,11.260000,137.000000
,,,11.270000,152.000000
,,,11.280000,152.000000
,,,11.290000,152.000000
,,,11.300000,149.000000
,,,11.310000,150.000000
,,,11.320000,147.000000
,,,11.330000,145.000000
,,,11.340000,114.000000
,,,11.350000,142.000000
,,,11.360000,143.000000
,,,11.370000,150.000000
,,,11.380000,149.000000
,,,11.390000,138.000000
,,,11.400000,144.000000
,,,11.410000,147.000000
,,,11.420000,135.000000
,,,11.430000,136.000000
,,,11.440000,149.000000
,,,11.450000,153.000000
,,,11.460000,144.000000
,,,11.470000,147.000000
,,,11.480000,140.000000
,,,11.490000,170.000000
,,,11.500000,168.000000
,,,11.510000,118.000000
,,,11.520000,139.000000
,,,11.530000,148.000000
,,,11.540000,146.000000
,,,11.550000,130.000000
,,,11.560000,152.000000
,,,11.570000,152.000000
,,,11.580000,155.000000
,,,11.590000,153.000000
,,,11.600000,165.000000
,,,11.610000,161.000000
,,,11.620000,136.000000
,,,11.630000,161.000000
,,,11.640000,138.000000
,,,11.650000,139.000000
,,,11.660000,156.000000
,,,11.670000,129.000000
,,,11.680000,136.000000
,,,11.690000,140.000000
,,,11.700000,126.000000
,,,11.710000,145.000000
,,,11.720000,143.000000
,,,11.730000,133.000000
,,,11.740000,154.000000
,,,11.750000,153.000000
,,,11.760000,124.000000
,,,11.770000,138.000000
,,,11.780000,156.000000
,,,11.790000,143.000000
,,,11.800000,146.000000
,,,11.810000,163.000000
,,,11.820000,162.000000
,,,11.830000,144.000000
,,,11.840000,124.000000
,,,11.850000,151.000000
,,,11.860000,142.000000
,,,11.870000,152.000000
,,,11.880000,135.000000
,,,11.890000,147.000000
,,,11.900000,95.000000
,,,11.910000,143.000000
,,,11.920000,139.000000
,,,11.930000,149.000000
,,,11.940000,145.000000
,,,11.950000,150.000000
,,,11.960000,148.000000
,,,11.970000,131.000000
,,,11.980000,126.000000
,,,11.990000,154.000000
,,,12.000000,141.000000
,,,12.010000,155.000000
,,,12.020000,155.000000
,,,12.030000,134.000000
,,,12.040000,132.000000
,,,12.050000,145.000000
,,,12.060000,149.000000
,,,12.070000,156.000000
,,,12.080000,144.000000
,,,12.090000,151.000000
,,,12.100000,132.000000
,,,12.110000,147.000000
,,,12.120000,138.000000
,,,12.130000,136.000000
,,,12.140000,181.000000
,,,12.150000,152.000000
,,,12.160000,163.000000
,,,12.170000,147.000000
,,,12.180000,146.000000
,,,12.190000,161.000000
,,,12.200000,130.000000
,,,12.210000,160.000000
,,,12.220000,137.000000
,,,12.230000,141.000000
,,,12.240000,148.000000
,,,12.250000,138.000000
,,,12.260000,127.000000
,,,12.270000,138.000000
,,,12.280000,136.000000
,,,12.290000,140.000000
,,,12.300000,150.000000
,,,12.310000,135.000000
,,,12.320000,149.000000
,,,12.330000,139.000000
,,,12.340000,162.000000
,,,12.350000,138.000000
,,,12.360000,163.000000
,,,12.370000,168.000000
,,,12.380000,158.000000
,,,12.390000,158.000000
,,,12.400000,152.000000
,,,12.410000,161.000000
,,,12.420000,152.000000
,,,12.430000,142.000000
,,,12.440000,170.000000
,,,12.450000,139.000000
,,,12.460000,130.000000
,,,12.470000,143.000000
,,,12.480000,154.000000
,,,12.490000,155.000000
,,,12.500000,158.000000
,,,12.510000,136.000000
,,,12.520000,157.000000
,,,12.530000,134.000000
,,,12.540000,129.000000
,,,12.550000,108.000000
,,,12.560000,145.000000
,,,12.570000,139.000000
,,,12.580000,167.000000
,,,12.590000,163.000000
,,,12.600000,122.000000
,,,12.610000,157.000000
,,,12.620000,145.000000
,,,12.630000,137.000000
,,,12.640000,138.000000
,,,12.650000,131.000000
,,,12.660000,163.000000
,,,12.670000,149.000000
,,,12.680000,134.000000
,,,12.690000,157.000000
,,,12.700000,152.000000
,,,12.710000,138.000000
,,,12.720000,146.000000
,,,12.730000,152.000000
,,,12.740000,151.000000
,,,12.750000,132.000000
